worker_id,site_id,first_name,last_name,role,department,employment_type,start_date
1,1,Theodore,Reid,Surface Operator,Mining Operations,Contractor,2023-10-14
2,1,Larry,Dixon,Haul Truck Operator,Maintenance,Full-time,2016-09-06
3,1,Susan,Pena,Surface Operator,Logistics,Contractor,2020-03-02
4,1,Richard,Perez,Processing Plant Operator,Mining Operations,Contractor,2018-02-01
5,1,Kyle,Clayton,Underground Miner,Mining Operations,Full-time,2024-03-30
6,1,Trevor,Bryant,Haul Truck Operator,Drill & Blast,Contractor,2018-06-23
7,1,Charles,Cook,Processing Plant Operator,Maintenance,Contractor,2019-12-08
8,1,Todd,Smith,Processing Plant Operator,Safety & Environment,Full-time,2020-09-25
9,1,Heather,Hill,Geologist,Processing,FIFO,2019-08-28
10,1,Jamie,Johnson,Underground Miner,Engineering,FIFO,2016-06-27
11,1,John,Doyle,Safety Officer,Processing,Full-time,2024-04-10
12,1,Jonathan,Mitchell,Haul Truck Operator,Engineering,Full-time,2023-03-04
13,1,Kathy,Thomas,Surface Operator,Safety & Environment,Full-time,2018-02-28
14,1,Alejandro,Parsons,Electrical Engineer,Drill & Blast,Full-time,2020-11-13
15,1,Johnathan,Wright,Underground Miner,Logistics,Full-time,2023-02-22
16,1,Richard,Rodriguez,Surface Operator,Safety & Environment,Full-time,2022-02-17
17,1,Barry,Gutierrez,Maintenance Technician,Engineering,Contractor,2021-05-30
18,1,Scott,Carter,Electrical Engineer,Drill & Blast,Full-time,2021-02-09
19,1,Allen,Rose,Surface Operator,Mining Operations,Contractor,2024-02-06
20,1,Amy,Russell,Maintenance Technician,Mining Operations,FIFO,2016-07-12
21,1,Wendy,Bell,Surface Operator,Safety & Environment,Full-time,2017-03-10
22,1,Alice,Webster,Electrical Engineer,Maintenance,Full-time,2026-03-26
23,1,Phyllis,Adams,Haul Truck Operator,Logistics,Full-time,2020-08-14
24,1,Catherine,Rodriguez,Surface Operator,Drill & Blast,Contractor,2024-05-05
25,1,Tanner,Baker,Processing Plant Operator,Logistics,Full-time,2025-05-01
26,1,Tara,Nguyen,Shift Supervisor,Safety & Environment,Full-time,2022-09-29
27,1,Stacy,Scott,Processing Plant Operator,Maintenance,Contractor,2019-04-07
28,1,Kimberly,Palmer,Underground Miner,Maintenance,FIFO,2019-01-24
29,1,Steven,Daniels,Electrical Engineer,Safety & Environment,Full-time,2025-02-08
30,1,Christine,Thomas,Haul Truck Operator,Drill & Blast,FIFO,2021-04-10
31,1,Anthony,Cox,Electrical Engineer,Maintenance,Contractor,2025-01-20
32,1,Tony,Jackson,Safety Officer,Logistics,Full-time,2017-05-16
33,1,Frank,Hogan,Maintenance Technician,Maintenance,Full-time,2022-06-07
34,1,Angela,Mosley,Processing Plant Operator,Drill & Blast,Full-time,2024-03-18
35,1,Leslie,Adams,Geologist,Safety & Environment,FIFO,2023-02-16
36,1,Jennifer,Campbell,Safety Officer,Processing,Full-time,2018-02-05
37,1,Kelly,Newton,Drill & Blast Technician,Drill & Blast,Full-time,2018-11-18
38,1,Chelsea,Rodriguez,Underground Miner,Engineering,Full-time,2024-07-27
39,1,Emily,Clark,Drill & Blast Technician,Engineering,Contractor,2016-09-16
40,1,Justin,Harris,Geologist,Mining Operations,Full-time,2023-06-09
41,1,Curtis,Orozco,Geologist,Safety & Environment,Contractor,2022-07-12
42,1,Julia,Sparks,Processing Plant Operator,Engineering,FIFO,2023-01-03
43,1,Joseph,Rodriguez,Surface Operator,Logistics,FIFO,2020-12-28
44,1,Jamie,Perez,Maintenance Technician,Engineering,Contractor,2020-05-16
45,1,Kathleen,Chen,Surface Operator,Processing,Full-time,2025-11-01
46,1,Crystal,Thompson,Shift Supervisor,Mining Operations,FIFO,2019-08-13
47,1,Andrew,Lewis,Maintenance Technician,Drill & Blast,Contractor,2023-01-18
48,1,Christian,Torres,Processing Plant Operator,Mining Operations,FIFO,2026-05-21
49,1,Lisa,Mcguire,Maintenance Technician,Engineering,Contractor,2026-02-09
50,1,Patricia,Hutchinson,Geologist,Maintenance,Full-time,2017-08-30
51,1,Deanna,Sherman,Drill & Blast Technician,Drill & Blast,FIFO,2018-04-22
52,1,Victoria,Snyder,Processing Plant Operator,Mining Operations,Contractor,2022-12-29
53,1,Desiree,Moon,Shift Supervisor,Mining Operations,Full-time,2023-09-15
54,1,Rickey,Reed,Electrical Engineer,Engineering,FIFO,2023-03-01
55,1,Mallory,Wilson,Haul Truck Operator,Mining Operations,Full-time,2025-07-04
56,1,Dean,Palmer,Geologist,Mining Operations,Full-time,2020-01-22
57,1,Mark,Carr,Shift Supervisor,Engineering,Full-time,2016-09-25
58,1,John,Evans,Processing Plant Operator,Engineering,Full-time,2026-03-14
59,1,Brian,Conner,Shift Supervisor,Drill & Blast,Full-time,2024-06-28
60,1,Tammy,Stein,Processing Plant Operator,Engineering,Contractor,2022-04-10
61,1,Bernard,Parker,Haul Truck Operator,Drill & Blast,Contractor,2025-09-03
62,1,Christopher,Long,Haul Truck Operator,Logistics,Full-time,2023-05-10
63,1,Elizabeth,Ball,Electrical Engineer,Safety & Environment,FIFO,2022-08-23
64,1,Stephanie,Hudson,Shift Supervisor,Mining Operations,Full-time,2020-11-01
65,1,Jessica,Simpson,Surface Operator,Processing,Full-time,2017-01-07
